"municipio","uf","code_muni","pm25_media","pm25_max","pm10_media","pm10_max","temp_max","temp_min"
"Abadiânia","GO",5200100,6.31,10.47,7.4,11.64,34.1,18.5
"Água Fria de Goiás","GO",5200175,4.45,6.15,5.49,7.24,35.7,18.8
"Águas Lindas de Goiás","GO",5200258,5.58,9.15,6.65,10.37,35.8,20.6
"Alexânia","GO",5200308,7.25,12.37,8.34,13.56,34.8,18.1
"Alto Paraíso de Goiás","GO",5200605,4.33,7.46,5.41,8.75,35.2,18.4
"Alvorada do Norte","GO",5200803,4.32,8.75,5.37,10.47,37.6,19.2
"Barro Alto","GO",5203203,5.7,9.69,6.72,10.79,38.7,20.4
"Cabeceiras","GO",5204003,4.85,8.22,5.94,9.38,35.5,20.3
"Cavalcante","GO",5205307,4.2,9.91,5.19,11.51,37.3,19.3
"Cidade Ocidental","GO",5205497,8.74,18.23,9.85,19.38,33.9,18.7
"Cocalzinho de Goiás","GO",5205513,5.53,9.58,6.57,10.72,36.2,19.9
"Corumbá de Goiás","GO",5205802,6.13,10.71,7.19,11.85,35,18.2
"Cristalina","GO",5206206,5.95,12.32,7.03,13.52,33.5,19.5
"Flores de Goiás","GO",5207907,4.74,8.58,5.87,10.31,36.9,18.7
"Formosa","GO",5208004,4.82,7.65,5.98,9.2,36.1,19.4
"Goianésia","GO",5208608,10.4,28.96,11.51,30.4,38.5,20.6
"Luziânia","GO",5212501,6.91,17.32,8.04,18.61,34.5,18.8
"Mimoso de Goiás","GO",5213053,4.7,6.76,5.66,7.84,36.8,19.9
"Niquelândia","GO",5214606,4.71,7.18,5.66,8.38,37.5,19.6
"Novo Gama","GO",5215231,9.91,20.18,11.01,21.12,33.9,18.2
"Padre Bernardo","GO",5215603,5.02,8.08,6.06,9.32,36.6,21
"Pirenópolis","GO",5217302,6.44,13.72,7.51,15.05,36.5,19.6
"Planaltina (GO)","GO",5217609,5.21,8.15,6.31,9.65,35.7,19.6
"Santo Antônio do Descoberto","GO",5219753,7.61,13.54,8.71,14.72,34.6,18.2
"São João d'Aliança","GO",5220009,4.64,7.46,5.83,8.86,36,18.9
"Simolândia","GO",5220686,4.22,8.87,5.28,10.63,38.1,19.6
"Valparaíso de Goiás","GO",5221858,9.92,20.19,11.01,21.14,33.9,18.2
"Vila Boa","GO",5222203,4.86,7.74,6.02,9.33,36.5,18.8
"Vila Propício","GO",5222302,5.63,10.77,6.68,11.97,38.1,20.6
"Arinos","MG",3104502,3.54,5.6,4.55,7.68,36.6,20.7
"Buritis","MG",3109303,4.54,7.74,5.56,8.57,35.8,19.9
"Cabeceira Grande","MG",3109451,4.7,8.8,5.78,9.95,35.2,19.9
"Unaí","MG",3170404,5.06,9.35,6.13,10.57,35,19.7
"Distrito Federal","DF",5300108,7.5,14.61,8.62,16,34.3,19.4
