"data_execucao","ciclo_previsao_cams","municipio","uf","code_muni","pm25_media","pm25_max","pm10_media","pm10_max","temp_max","temp_min"
"2026-09-11","2026/09/11 00:00:00","Abadiânia","GO","5200100",7.33,10.44,7.97,11.18,34.6,19.2
"2026-09-11","2026/09/11 00:00:00","Alexânia","GO","5200308",7.38,12.2,8.05,13.76,35.1,19.1
"2026-09-11","2026/09/11 00:00:00","Alto Paraíso de Goiás","GO","5200605",6.22,11.02,7.24,12.93,36.3,19.2
"2026-09-11","2026/09/11 00:00:00","Alvorada do Norte","GO","5200803",5.61,11.14,6.63,12.9,38.4,18.9
"2026-09-11","2026/09/11 00:00:00","Arinos","MG","3104502",4.19,8.5,5.18,9.47,38.3,21
"2026-09-11","2026/09/11 00:00:00","Barro Alto","GO","5203203",8.49,16.31,9.38,17.88,38.8,21.2
"2026-09-11","2026/09/11 00:00:00","Buritis","MG","3109303",5.7,9.71,6.65,10.81,37.4,19.4
"2026-09-11","2026/09/11 00:00:00","Cabeceira Grande","MG","3109451",5.74,9.1,6.56,9.87,36.8,19.3
"2026-09-11","2026/09/11 00:00:00","Cabeceiras","GO","5204003",6.08,10.03,6.97,11,37.1,19.7
"2026-09-11","2026/09/11 00:00:00","Cavalcante","GO","5205307",6.55,12.66,7.63,14.74,37.7,20.2
"2026-09-11","2026/09/11 00:00:00","Cidade Ocidental","GO","5205497",9.15,19.23,9.93,20.34,35.3,19
"2026-09-11","2026/09/11 00:00:00","Cocalzinho de Goiás","GO","5205513",6.85,11.09,7.61,12.38,36.4,20.9
"2026-09-11","2026/09/11 00:00:00","Corumbá de Goiás","GO","5205802",7.06,10.19,7.73,11.13,35.4,19.4
"2026-09-11","2026/09/11 00:00:00","Cristalina","GO","5206206",6.6,13.07,7.34,14.37,34.7,19.5
"2026-09-11","2026/09/11 00:00:00","Distrito Federal","DF","5300108",8.18,14.97,9.03,16.1,35.6,20.1
"2026-09-11","2026/09/11 00:00:00","Flores de Goiás","GO","5207907",6,11.51,7.03,13.24,38,18.6
"2026-09-11","2026/09/11 00:00:00","Formosa","GO","5208004",6.6,10.64,7.55,11.91,37.6,19.6
"2026-09-11","2026/09/11 00:00:00","Goianésia","GO","5208608",10.97,24.48,11.79,25.3,38.3,21.6
"2026-09-11","2026/09/11 00:00:00","Luziânia","GO","5212501",7.9,14.55,8.62,15.72,35.4,19.5
"2026-09-11","2026/09/11 00:00:00","Mimoso de Goiás","GO","5213053",6.58,9.43,7.44,10.6,37.5,20
"2026-09-11","2026/09/11 00:00:00","Niquelândia","GO","5214606",6.85,9.96,7.78,11.58,38,20.2
"2026-09-11","2026/09/11 00:00:00","Novo Gama","GO","5215231",10.04,23.31,10.81,24.5,35.1,18.8
"2026-09-11","2026/09/11 00:00:00","Padre Bernardo","GO","5215603",6.83,10.58,7.68,11.97,37.1,21.5
"2026-09-11","2026/09/11 00:00:00","Pirenópolis","GO","5217302",7.38,11.62,8.05,12.75,36.5,21
"2026-09-11","2026/09/11 00:00:00","Planaltina (GO)","GO","5217609",7.06,10.73,7.99,12.02,37.3,20.8
"2026-09-11","2026/09/11 00:00:00","Santo Antônio do Descoberto","GO","5219753",7.76,11.82,8.44,13.28,35,19.1
"2026-09-11","2026/09/11 00:00:00","Simolândia","GO","5220686",5.78,11.42,6.81,13.3,38.7,19.3
"2026-09-11","2026/09/11 00:00:00","São João d'Aliança","GO","5220009",6.55,10.73,7.57,12.41,37.2,19.5
"2026-09-11","2026/09/11 00:00:00","Unaí","MG","3170404",6.02,9.87,6.9,11.13,37.4,19.1
"2026-09-11","2026/09/11 00:00:00","Valparaíso de Goiás","GO","5221858",10.04,23.32,10.81,24.51,35.1,18.8
"2026-09-11","2026/09/11 00:00:00","Vila Boa","GO","5222203",6.81,11.62,7.83,13.21,37.9,18.9
"2026-09-11","2026/09/11 00:00:00","Vila Propício","GO","5222302",7.79,16.15,8.6,17.66,38.1,21.5
"2026-09-11","2026/09/11 00:00:00","Água Fria de Goiás","GO","5200175",6.45,9.68,7.38,11.24,36.8,19.6
"2026-09-11","2026/09/11 00:00:00","Águas Lindas de Goiás","GO","5200258",6.82,11.91,7.61,13.35,36.1,20.9
