"data_observacao","municipio","uf","code_muni","n_focos_queimadas"
"2026-09-11","Abadiânia","GO","5200100",0
"2026-09-11","Alexânia","GO","5200308",0
"2026-09-11","Alto Paraíso de Goiás","GO","5200605",0
"2026-09-11","Alvorada do Norte","GO","5200803",0
"2026-09-11","Arinos","MG","3104502",0
"2026-09-11","Barro Alto","GO","5203203",0
"2026-09-11","Buritis","MG","3109303",0
"2026-09-11","Cabeceira Grande","MG","3109451",0
"2026-09-11","Cabeceiras","GO","5204003",0
"2026-09-11","Cavalcante","GO","5205307",0
"2026-09-11","Cidade Ocidental","GO","5205497",0
"2026-09-11","Cocalzinho de Goiás","GO","5205513",0
"2026-09-11","Corumbá de Goiás","GO","5205802",0
"2026-09-11","Cristalina","GO","5206206",0
"2026-09-11","Distrito Federal","DF","5300108",0
"2026-09-11","Flores de Goiás","GO","5207907",0
"2026-09-11","Formosa","GO","5208004",0
"2026-09-11","Goianésia","GO","5208608",0
"2026-09-11","Luziânia","GO","5212501",0
"2026-09-11","Mimoso de Goiás","GO","5213053",0
"2026-09-11","Niquelândia","GO","5214606",0
"2026-09-11","Novo Gama","GO","5215231",0
"2026-09-11","Padre Bernardo","GO","5215603",0
"2026-09-11","Pirenópolis","GO","5217302",0
"2026-09-11","Planaltina (GO)","GO","5217609",0
"2026-09-11","Santo Antônio do Descoberto","GO","5219753",0
"2026-09-11","Simolândia","GO","5220686",0
"2026-09-11","São João d'Aliança","GO","5220009",0
"2026-09-11","Unaí","MG","3170404",0
"2026-09-11","Valparaíso de Goiás","GO","5221858",0
"2026-09-11","Vila Boa","GO","5222203",0
"2026-09-11","Vila Propício","GO","5222302",0
"2026-09-11","Água Fria de Goiás","GO","5200175",0
"2026-09-11","Águas Lindas de Goiás","GO","5200258",0
