municipio;uf;empresa;regiao;lat;lon;iag0001;iag0002;iag0003;intermitencia
Flores de Goiás;GO;Saneago;Tocantins-Araguaia;-14.4451;-47.0417;27.71;79.2;0;93.1
Vila Propício;GO;Saneago;Tocantins-Araguaia;-15.4542;-48.8819;29.89;49.22;0;0
Padre Bernardo;GO;Saneago;Tocantins-Araguaia;-15.1605;-48.2833;46.38;53.83;0;20.75
Mimoso de Goiás;GO;Saneago;Tocantins-Araguaia;-15.0515;-48.1611;47.47;99.6;0;85.59
Água Fria de Goiás;GO;Saneago;Tocantins-Araguaia;-14.9778;-47.7823;48.93;79.16;0;32.2
Cavalcante;GO;Saneago;Tocantins-Araguaia;-13.7976;-47.4566;52.12;94.62;0;46.9
Alto Paraíso de Goiás;GO;Saneago;Tocantins-Araguaia;-14.1305;-47.51;55.23;73.68;0;9.02
Arinos;MG;Copasa;São Francisco;-15.9187;-46.1043;59.74;88.69;2.45;284.17
Cidade Ocidental;GO;Saneago;Paraná;-16.0765;-47.9252;60.64;61.24;0;19.76
Pirenópolis;GO;Saneago;Tocantins-Araguaia;-15.8507;-48.9584;62.61;92.31;0;19.13
São João d'Aliança;GO;Saneago;Tocantins-Araguaia;-14.7048;-47.5228;64.91;100;0;20.08
Corumbá de Goiás;GO;Saneago;Paraná;-15.9245;-48.8117;65.34;98.09;0;31.63
Cocalzinho de Goiás;GO;Saneago;Tocantins-Araguaia;-15.7914;-48.7747;66.84;88.56;0;26.42
Buritis;MG;Copasa;São Francisco;-15.6218;-46.4221;67.09;86.54;1.76;0
Abadiânia;GO;Saneago;Paraná;-16.197;-48.7057;67.5;89.04;0;11.22
Cristalina;GO;Saneago;Paraná;-16.7676;-47.6131;75.78;87.13;0;11.92
Cabeceiras;GO;Saneago;São Francisco;-15.7995;-46.9265;77.42;100;0;30.89
Niquelândia;GO;Saneago;Tocantins-Araguaia;-14.4662;-48.4599;78.07;100;0;48.23
Vila Boa;GO;Saneago;Tocantins-Araguaia;-15.0387;-47.052;78.83;100;0;105.63
Barro Alto;GO;Saneago;Tocantins-Araguaia;-14.9658;-48.9086;80.54;89.07;0;85.2
Cabeceira Grande;MG;Copasa;São Francisco;-16.0335;-47.0862;80.65;100;1.42;4.88
Planaltina (GO);GO;Saneago;Tocantins-Araguaia;-15.452;-47.6089;80.9;85.69;0;33.55
Simolândia;GO;Saneago;Tocantins-Araguaia;-14.4644;-46.4847;85.39;100;0;47.52
Alexânia;GO;Saneago;Paraná;-16.0834;-48.5076;86.2;93.46;0;15.37
Valparaíso de Goiás;GO;Saneago;Paraná;-16.0651;-47.9757;86.33;86.33;0;1.62
Alvorada do Norte;GO;Saneago;Tocantins-Araguaia;-14.4797;-46.491;86.57;100;0;38.4
Unaí;MG;Copasa;São Francisco;-16.3592;-46.9022;87.17;100;19.45;2.33
Goianésia;GO;Saneago;Tocantins-Araguaia;-15.3118;-49.1162;88.14;92.87;0;31.9
Formosa;GO;Saneago;São Francisco;-15.54;-47.337;92.76;100;0;23.89
Luziânia;GO;Saneago;Paraná;-16.253;-47.95;94.32;98.08;0;7.36
Santo Antônio do Descoberto;GO;Saneago;Paraná;-15.9412;-48.2578;95.35;99.83;0;18.7
Águas Lindas de Goiás;GO;Saneago;Paraná;-15.7617;-48.2816;95.84;96.06;0;4.67
Distrito Federal;DF;CAESB;Paraná / São Francisco / Tocantins-Araguaia;-15.7795;-47.9297;97.45;99;55.06;0.39
Novo Gama;GO;Saneago;Paraná;-16.0592;-48.0417;99.49;100;0;5.87
